Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),JUL25 progress (%),Sector
159,611930,Lara Super Thermal Power Project Stage-II [2 x 800 MW],National Thermal Power Corporation [NTPC],Chhattisgarh,08/2023,-,06/2028,-,15530,15530,2288,14,Electricity Generation
160,617188,"Sipat Super Thermal Power Project, Stage-III [1x800 MW]",National Thermal Power Corporation [NTPC],Chhattisgarh,09/2024,-,09/2029,-,9791,9791,0,0,Electricity Generation
161,709747,Bagodara Solar Power Project,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,Gujarat,05/2021,-,12/2025,12/2025,339.35,339.35,317.59,51,Electricity Generation
162,602582,Dhaulasidh Hydro Electric Project [66 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,Himachal Pradesh,05/2021,-,11/2025,03/2027,687.97,1511.87,908.65,67,Electricity Generation
163,602593,Luhri Stage-I Hydro Electric Project [210 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,Himachal Pradesh,11/2020,-,01/2026,08/2029,1810.56,3584.53,1742.92,51,Electricity Generation
164,602633,382 MW Sunni Dam HEP,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,Himachal Pradesh,04/2018,-,03/2027,-,2615,2615,495.57,0.5,Electricity Generation
165,611586,Sunni Dam Hydro Electric Project [382 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,Himachal Pradesh,01/2023,-,04/2028,12/2028,2614.51,4540.71,956.76,29,Electricity Generation
166,602525,"Pakal Dul [Drangdhuran] Hydroelectric Project, 1000 MW",National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],Jammu and Kashmir,02/2018,-,04/2020,09/2026,8112.12,8112.12,6916.1,71,Electricity Generation
167,602532,Kiru HE Project,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],Jammu and Kashmir,03/2019,-,09/2023,03/2026,4287.59,4287.59,3055.87,66,Electricity Generation
168,602535,"Ratle HE Project - 850 MW, Ratle Hydroelectric Power Corporation Limited.",National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],Jammu and Kashmir,02/2021,-,02/2026,08/2029,5281.94,5281.94,1009.79,24,Electricity Generation
169,605155,Kwar HE Project,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],Jammu and Kashmir,05/2022,-,11/2026,-,4526.12,4526.12,1078.61,23,Electricity Generation
170,400261,Patratu Thermal Power Station Expansion Project Phase-I [3x800 MW],National Thermal Power Corporation [NTPC],Jharkhand,11/2017,-,03/2023,11/2026,17112,20302,17365,81,Electricity Generation
171,611509,"Koderma Thermal Power Station Phase II [2X800 MW] At Koderma, Jharkhand",Damodar Valley Corporation,Jharkhand,11/2024,-,03/2029,-,14358,14358,1116.7,1,Electricity Generation
172,709820,OMKARESHWAR FLOATING SOLAR POWER PROJECT [90 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,Madhya Pradesh,11/2022,-,08/2024,-,646.17,646.17,0,0,Electricity Generation
173,602096,Subansiri Lower HE Project [2000 MW],National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],"Multi-States (Arunachal Pradesh, Assam)",09/2003,-,09/2010,05/2026,6285.33,26075.5,24685.13,96,Electricity Generation
174,602961,Talcher Thermal Power Station Stage III [2 x 660 MW] Expansion,National Thermal Power Corporation [NTPC],Odisha,09/2022,-,05/2027,03/2028,11843.75,12543,3975,26,Electricity Generation
175,709748,BIKANER SOLAR POWER PROJECT,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,Rajasthan,05/2022,-,04/2024,12/2025,5491.89,5491.89,4606.84,82,Electricity Generation
176,602181,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA HYDRO POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT]",National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],Sikkim,03/2019,-,03/2024,12/2027,5748.04,5748.04,4495.28,68,Electricity Generation
177,605156,Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] -A wholly owned subsidiary of NHPC Ltd. acquired through NCLT,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],Sikkim,03/2021,-,05/2024,12/2025,938.29,1828.11,1554.15,90,Electricity Generation
178,602194,Khurja super Thermal Power Plant [2X660 MW],THDC India Limited,Uttar Pradesh,08/2019,-,02/2024,08/2025,11089.42,13276.2,12429.05,96,Electricity Generation
179,612142,"Singrauli Super Thermal Power Project, Stage-III [2x800 MW]",National Thermal Power Corporation [NTPC],Uttar Pradesh,03/2024,-,02/2030,-,17195,17195,1626,8,Electricity Generation
180,602185,Tapovan-Vishnugad HEP [4x130 MW],National Thermal Power Corporation [NTPC],Uttarakhand,11/2006,-,03/2013,04/2029,2978,10907.3,7123.58,77,Electricity Generation
181,602193,Tehri Pumped Storage Plant Project [4x250 MW],THDC India Limited,Uttarakhand,06/2011,-,06/2022,11/2025,4825.6,8339,7939.82,98,Electricity Generation
182,602195,Vishnugad Pipalkoti Hydro Electric Project [444 MW],THDC India Limited,Uttarakhand,01/2014,-,12/2022,03/2027,3860.35,6823.72,4828.89,72,Electricity Generation
183,400062,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia, West Bengal",Damodar Valley Corporation,West Bengal,02/2025,-,06/2029,-,17673,17673,1183.7,1,Electricity Generation
184,602184,Rammam-III HEPP [3x40 MW],National Thermal Power Corporation [NTPC],West Bengal,09/2014,-,09/2019,03/2029,1381.84,1381.84,1266,45,Electricity Generation
185,602538,Installation of FGD for 4x210 & 2x250 MW MTPS U 1-6,Damodar Valley Corporation,West Bengal,02/2021,-,01/2024,12/2025,1037,1106,1085.39,91,Electricity Generation
186,611967,Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool 1000MW,Power Grid Corporation of India Limited [POWERGRID],Andhra Pradesh,09/2023,-,09/2025,04/2026,1248.69,1248.69,820.26,78,Transmission & Distribution
187,612856,Augmentation of 1x1500 MVA 3rd 765/400 kV transformation capacity at Kurnool New Substation,Power Grid Corporation of India Limited [POWERGRID],Andhra Pradesh,12/2023,-,09/2025,11/2025,163.61,163.61,50.72,39,Transmission & Distribution
188,617183,Transmission system strengthening at Kurnool- III PS for integration of additional RE generation projects [POWERGRID Kurnool III PS RE Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Andhra Pradesh,03/2025,-,12/2027,-,2886,2886,28.86,0,Transmission & Distribution
189,611737,Western Region Expansion Scheme-XXV,Power Grid Corporation of India Limited [POWERGRID],Chhattisgarh,02/2023,-,11/2023,09/2025,385.84,385.84,378.16,96,Transmission & Distribution
190,611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,Power Grid Corporation of India Limited [POWERGRID],Gujarat,03/2023,-,03/2025,10/2025,1167.55,1167,1013.39,91,Transmission & Distribution
191,611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,Power Grid Corporation of India Limited [POWERGRID],Gujarat,03/2023,-,03/2025,11/2025,2820.99,2820.99,2454.26,84,Transmission & Distribution
192,611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,Power Grid Corporation of India Limited [POWERGRID],Gujarat,03/2023,-,12/2024,08/2025,966.79,966.79,894.76,95,Transmission & Distribution
193,612139,Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE park under Phase-III Part B [Vataman Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Gujarat,12/2023,-,12/2025,06/2026,3751.82,3751.82,1500.72,21,Transmission & Distribution
194,612151,Transmission System for Evacuation of Power from potential Renewable Energy zone in Khavda Area of Gujarat under Phase IV [7 GW] Part E3,Power Grid Corporation of India Limited [POWERGRID],Gujarat,07/2023,-,07/2025,10/2025,334,334,70.44,22,Transmission & Distribution
195,612855,Transmission System for Evacuation of Power from Potential Energy Renewable Zone in Khavda Area of Gujarat under Ph-IV [7GW] Part E2,Power Grid Corporation of India Limited [POWERGRID],Gujarat,05/2024,-,05/2026,02/2026,679,679,81.48,18,Transmission & Distribution
196,615342,Augmentation of Transformation Capacity at jam Khambhaliya PS [GIS] [SPV Name POWERGRID Jam Khambhaliya Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Gujarat,10/2024,-,07/2026,-,329,329,9.97,1,Transmission & Distribution
197,615343,Provision of Dynamic Reactive Compensation at Khavda pooling Station 1 [KPS1] and Khavda Pooling station 3 [KPS3],Power Grid Corporation of India Limited [POWERGRID],Gujarat,11/2024,-,11/2026,-,501,501,5.01,1,Transmission & Distribution
198,615345,Transmission System for Evacuation of Power from Potential Renewable Energy Zone in Khavda area of Gujarat under Phase-IV [7GW] Part B [SPV Name POWERGRID South Olpad Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Gujarat,10/2024,-,10/2026,-,4766,4766,513.29,5,Transmission & Distribution
199,617069,Augmentation of Transformation Capacity at KPS1 [GIS] and KPS2 [GIS] [Phase-V Part B1 and Part B2 Scheme] [SPV Name- POWERGRID KPS1 and 2 Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Gujarat,02/2025,-,02/2027,-,466,466,6.99,0,Transmission & Distribution
200,617182,Augmentation of Banaskantha [Raghanesda] PS [GIS] [POWERGRID Banaskantha Transco Limited],Power Grid Corporation of India Limited [POWERGRID],Gujarat,03/2025,-,03/2027,-,172,172,1.72,0,Transmission & Distribution
201,617272,Implementation of LILO of both circuits of 400KV vindhyachal PS-Sasan D/C Line at Hindalco Switchyard,Power Grid Corporation of India Limited [POWERGRID],Haryana,06/2024,-,12/2026,-,370,370,1,1,Transmission & Distribution
202,608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,Power Grid Corporation of India Limited [POWERGRID],Jammu and Kashmir,02/2022,-,04/2025,08/2025,318.12,318.12,286.31,99,Transmission & Distribution
203,617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,Power Grid Corporation of India Limited [POWERGRID],Jammu and Kashmir,07/2024,-,07/2026,-,218.6,218.6,0,0,Transmission & Distribution
204,612140,Transmission Scheme for Integration of Renewable Energy Zone [Phase II] in Koppal II [Phase A&B] and gadag II[Phase A] in Karnataka [POWERGRID KOPPAL GADAG TRANSMISSION LIMITED],Power Grid Corporation of India Limited [POWERGRID],Karnataka,12/2023,-,12/2025,-,2889.39,2889.39,1154.31,37,Transmission & Distribution
205,616672,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Karnataka,01/2025,-,06/2027,-,1354,1354,16.65,0,Transmission & Distribution
206,617068,"Augmentation of Transformation Capacity by 3x500 MVA, 400/220 KV ICTS [6th-8th] and 1x1500 MVA, 765/400 KV ICT [4th] at Bidar PS [SPV Name- POWERGRID Bidar Augmentation Transmission Limited]",Power Grid Corporation of India Limited [POWERGRID],Karnataka,02/2025,-,06/2027,-,288,288,5.76,0,Transmission & Distribution
207,617184,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Karnataka,03/2025,-,09/2027,-,3453,3453,20.7,0,Transmission & Distribution
208,615344,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5GW] [Jaisalmer/Barmer Complex] Part H1 [POWERGRID KURAWAR TRANSMISSION LIMITED],Power Grid Corporation of India Limited [POWERGRID],Madhya Pradesh,10/2024,-,10/2026,-,3674,3674,408.18,13,Transmission & Distribution
209,615346,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5 GW] [Jaisalmer/Barmer Complex] Part C [SPV Name POWERGRID Mandsaur Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Madhya Pradesh,08/2024,-,08/2026,-,2708,2708,649.92,26,Transmission & Distribution
210,617279,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Madhya Pradesh,06/2025,-,12/2027,-,558,558,5.58,0,Transmission & Distribution
211,611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,Power Grid Corporation of India Limited [POWERGRID],Maharashtra,11/2023,-,07/2025,11/2025,224.41,224.41,22.44,9,Transmission & Distribution
212,617185,Transmission System for Integration of Kurnool-IV REZ Phase-I [for 4.5 GW] [POWERGRID Kurnool-IV Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Andhra Pradesh, Karnataka)",03/2025,-,03/2027,-,5550,5550,111,0,Transmission & Distribution
213,900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone Part-A and Part-B,Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Andhra Pradesh, Telangana)",03/2023,-,11/2024,12/2025,3546.94,3546.94,3121.3,94,Transmission & Distribution
214,602223,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Arunachal Pradesh, Sikkim)",01/2016,-,12/2018,03/2027,4754.42,4754.42,7321.07,81,Transmission & Distribution
215,607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Assam, Manipur, Meghalaya, Mizoram, Nagaland, Tripura)",03/2016,-,12/2018,09/2025,5111.33,6700,5253.47,96,Transmission & Distribution
216,617271,Eastern Region Expansion Scheme-43 [ERES-43],Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Bihar, Odisha, West Bengal)",09/2024,-,03/2026,-,342.69,342.69,0.2,0,Transmission & Distribution
217,617270,Eastern Region Expansion Scheme-44 [ERES-44],Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Bihar, West Bengal)",11/2024,-,05/2026,-,408.94,408.94,0.2,0,Transmission & Distribution
218,400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",07/2022,-,06/2023,12/2025,4546.26,4546.26,4148.46,93,Transmission & Distribution
219,608922,Transmission System Strengthening Scheme for evacuation of power from SEZ in Rajasthan 8.1 GW under Phase II Part G,Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Delhi, Haryana, Rajasthan)",05/2022,-,11/2023,11/2025,1666,2218,2139.28,95,Transmission & Distribution
220,611735,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part J,Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Delhi, Rajasthan)",12/2022,-,03/2025,04/2026,331,331,75.92,28,Transmission & Distribution
221,612132,Transmission Scheme for Evacuation of power from REZ in Rajasthan [20 GW] under Phase-III Part D [Sikar Khetri Transmission Ltd],Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Delhi, Rajasthan)",02/2024,-,08/2025,05/2026,2000,2000,1314.8,59,Transmission & Distribution
222,608301,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan 8.1 GW under Phase II- Part- G1,Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Delhi, Uttar Pradesh)",02/2022,-,09/2023,11/2025,359.47,359.47,330.71,93,Transmission & Distribution
223,615347,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE ENERGY ZONE IN KHAVDA AREA OF GUJARAT UNDER PHASE-V [8 GW] PART A [SPV Name POWERGRID West Central Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Gujarat, Maharashtra)",11/2024,-,05/2029,-,24819,24819,1489.14,1,Transmission & Distribution
224,615339,Transmission system for evacuation of power from Rajasthan REZ Ph-IV [Part- 3/6GW] [Bikaner complex] Part A [SPV Name POWERGRID Bikaner IV Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Haryana, Punjab, Rajasthan)",11/2024,-,11/2026,-,5969,5969,167.13,4,Transmission & Distribution
225,615340,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV [PART-3/ 6 GW] [BIKANER COMPLEX] PART B [SPV Name POWERGRID Siwani Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Haryana, Rajasthan)",11/2024,-,11/2026,-,5357,5357,267.85,8,Transmission & Distribution
226,606781,Transmission System for Strengthening of Srinagar-Leh Tr. System,Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Jammu and Kashmir, Ladakh)",03/2022,-,12/2024,09/2025,288.71,288.71,202.1,59,Transmission & Distribution
227,612138,"Transmission Scheme for Solar Energy Zone in Bidar [2500 MW], Karnataka [Bidar Transmission Ltd]",Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Karnataka, Telangana)",02/2024,-,02/2026,-,2147.62,2147.62,1068.65,55,Transmission & Distribution
228,615333,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5 GW] [Jaisalmer/Barmer Complex] Part D [SPV Name POWERGRID Beawar Mandsaur Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Madhya Pradesh, Rajasthan)",08/2024,-,08/2026,-,2227,2227,534.48,19,Transmission & Distribution
229,615334,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5 GW] [Jaisalmer/Barmer Complex] Part E [SPV Name POWERGRID Mewar Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Madhya Pradesh, Rajasthan)",08/2024,-,08/2026,-,3251,3251,685.96,17,Transmission & Distribution
230,617186,Rajasthan REZ Ph-V [Part-1- 4 GW] [Sirohi/Nagaur] Complex [Rajasthan V Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Madhya Pradesh, Rajasthan)",03/2025,-,03/2027,-,5028,5028,139.2,1,Transmission & Distribution
231,612133,Transmission System for Evacuation of power from Rajasthan REZ Ph-IV [Part-1] [Bikaner Complex] Part D [Neemrana Bareilly Transmission Ltd],Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Rajasthan, Uttar Pradesh)",12/2023,-,12/2025,06/2026,2056,2056,1336.4,55,Transmission & Distribution
232,616670,Transmission System for evacuation of Power from Rajasthan REZ Ph-IV [Part-4 3.5 GW] Part A [SPV name POWERGRID Ghiror Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Rajasthan, Uttar Pradesh)",12/2024,-,12/2026,-,5846,5846,236.18,3,Transmission & Distribution
233,611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,Power Grid Corporation of India Limited [POWERGRID],Rajasthan,03/2023,-,09/2024,10/2025,1433.28,1433,1341.7,93,Transmission & Distribution
234,611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,Power Grid Corporation of India Limited [POWERGRID],Rajasthan,11/2023,-,06/2025,09/2025,428.3,428.3,107.07,46,Transmission & Distribution
235,611948,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part H,Power Grid Corporation of India Limited [POWERGRID],Rajasthan,10/2023,-,04/2025,12/2025,2211.29,2211.29,1780.53,72,Transmission & Distribution
236,611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,Power Grid Corporation of India Limited [POWERGRID],Rajasthan,10/2023,-,04/2025,10/2025,1796.02,1796.02,1201.17,79,Transmission & Distribution
237,611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,Power Grid Corporation of India Limited [POWERGRID],Rajasthan,09/2023,-,04/2025,12/2025,2190.54,2190.54,1740.6,77,Transmission & Distribution
238,611951,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part E1,Power Grid Corporation of India Limited [POWERGRID],Rajasthan,08/2023,-,02/2025,09/2025,688.74,688.74,585.42,93,Transmission & Distribution
239,612134,Transmission System for Evacuation of power from Rajasthan REZ Ph-IV [Part-1] [Bikaner Complex] Part A [Bikaner Neemrana Transmission Ltd],Power Grid Corporation of India Limited [POWERGRID],Rajasthan,12/2023,-,12/2025,03/2026,2998.34,2998.34,1592.11,49,Transmission & Distribution
240,615332,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5 GW][Jaisalmer/Barmer Complex] Part B [SPV Name POWERGRID Sirohi Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Rajasthan,08/2024,-,08/2026,-,3279,3279,547.59,19,Transmission & Distribution
241,615335,Transmission System Strengthening for Interconnections of Bhadla-III & Bikaner III Complex [SPV Name POWERGRID BHADLA BIKANER TRANSMISSION LIMITED],Power Grid Corporation of India Limited [POWERGRID],Rajasthan,08/2024,-,08/2026,-,1382,1382,41.46,2,Transmission & Distribution
242,615337,Additional Transmission System for evacuation of Power from Bhadla-III PS as part of Rajasthan REZ Phase III Scheme [20 GW] [SPV Name POWERGRID Bhadla-III Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Rajasthan,08/2024,-,02/2026,-,369,369,17.82,6,Transmission & Distribution
243,615338,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH -IV [PART-2 5.5 GW] [JAISALMER/BARMER COMPLEX] PART F [SPV Name POWERGRID BARMER I TRANSMISSION LIMITED],Power Grid Corporation of India Limited [POWERGRID],Rajasthan,11/2024,-,11/2026,-,2735,2735,81.42,5,Transmission & Distribution
244,617181,"Augmentation at Fatehgarh-II PS, Fatehgarh-IV PS [Section-II] and Barmer-I PS [POWERGRID Fatehgarh Barmer Augmentation Transmission Limited]",Power Grid Corporation of India Limited [POWERGRID],Rajasthan,03/2025,-,12/2026,-,404,404,4.04,0,Transmission & Distribution
245,616671,Transmission System under ISTS for evacuation of Power from Kudankulam Unit-3&4 [2x1000 MW] [SPV Name POWERGRID Kudankulam Tarnsmission Limited],Power Grid Corporation of India Limited [POWERGRID],Tamil Nadu,01/2025,-,12/2026,12/2026,548,548,10.96,4,Transmission & Distribution
246,617269,Transmission System for Strengthening to facilitate evacuation of power from Bhadla/Bikaner Complex,Power Grid Corporation of India Limited [POWERGRID],Uttar Pradesh,12/2024,-,06/2026,-,212.81,212.81,0.2,0,Transmission & Distribution
247,617282,"C/o 184 MS Flats for Hon'ble MPs at BKS Marg, New Delhi",Central Public Works Department [CPWD],Delhi,05/2022,-,05/2025,08/2025,646.53,646.52,518.46,98,Construction
248,702668,Chennai Metro Rail Phase-II Development Project,Chennai Metro Rail Limited [CMRL],Tamil Nadu,11/2020,-,08/2029,-,63246,63246,47162.73,0,Inland Waterways
249,707229,"Integrated Command control Center [ICCC] - Construction and Development of Integrated Command Control Center with Security, Surveillance, ITMS, Connecting Port, Ship Service, Smart Solid Waste Management, Smart Public Transport System",Smart City Mission,Andaman & Nicobar,11/2021,-,05/2023,-,209.88,209.88,0,0,Real Estate
250,702522,In-Situ Slum Redevelopment Project in Bihar,"PMAY, Ministry of Housing and Urban Affairs",Bihar,06/2015,-,03/2024,-,454.65,454.65,204.64,0,Real Estate
251,702544,In-Situ Slum Redevelopment Project in Haryana,"PMAY, Ministry of Housing and Urban Affairs",Chandigarh,06/2015,-,03/2024,-,285.85,285.85,127.58,0,Real Estate
252,702524,Affordable Housing Construction Project in Chhattisgarh,"PMAY, Ministry of Housing and Urban Affairs",Chhattisgarh,06/2015,-,03/2024,-,3797.69,3797.69,2694,0,Real Estate
253,400188,Redevelopment of Seven General Pool Residential Accommodation [GPRA] Colonies in Delhi,National Buildings Construction Corporation [NBCC],Delhi,05/2018,-,12/2022,12/2025,32850,32850,0,0,Real Estate
254,701719,Rehablitation in Junavadaj Area Smart City Project,Ministry of Housing & Urban Affairs,Gujarat,06/2016,-,07/2022,-,539,539,39.63,50,Real Estate
255,702540,In-Situ Slum Redevelopment Project in Gujarat,"PMAY, Ministry of Housing and Urban Affairs",Gujarat,06/2015,-,03/2024,-,5477.4,5477.4,3035.81,0,Real Estate
256,702555,In-Situ Slum Redevelopment Project in Jharkhand,"PMAY, Ministry of Housing and Urban Affairs",Jharkhand,06/2015,-,03/2024,-,212.74,212.74,41,0,Real Estate
257,702612,In-Situ Slum Redevelopment Project in Uttar Pradesh,"PMAY, Ministry of Housing and Urban Affairs",Uttar Pradesh,06/2015,-,03/2024,-,576.99,576.99,141.94,0,Real Estate
258,701766,Green Building Development Project,Ministry of Housing & Urban Affairs,Uttarakhand,08/2019,-,11/2023,-,150.97,150.97,18.95,0,Real Estate
259,702627,Patna Metro Rail Project,Patna Metro Rail Corporation Ltd. [PMRCL],Bihar,02/2019,-,02/2024,06/2027,13365.77,13365.8,4039.77,40.07,Urban Public Transport
260,617207,Delhi Metro Rail Phase-IV [2 Corridors],Delhi Metro Rail Corporation Limited [DMRC],Delhi,03/2024,-,03/2029,-,8399.81,8399.81,5.57,0,Urban Public Transport
261,702632,DMRTS Phase - IV [3 Priority Corridors],Delhi Metro Rail Corporation Limited [DMRC],Delhi,07/2019,-,03/2025,03/2026,24948.65,24948.7,15423.06,68,Urban Public Transport
262,702630,Surat Metro Rail Project,Gujarat Metro Rail Corporation Limited [GMRCL],Gujarat,04/2019,-,03/2024,06/2026,12020.32,12020.3,7386.41,68,Urban Public Transport
263,702631,"Ahmedabad Metro Rail Project, Phase-II",Gujarat Metro Rail Corporation Limited [GMRCL],Gujarat,03/2019,-,03/2024,12/2025,5384.17,5384.17,4151.57,87,Urban Public Transport
264,702639,Ahmedabad Metro Rail Project [Phase-I],Gujarat Metro Rail Corporation Limited [GMRCL],Gujarat,03/2018,-,03/2018,08/2025,10773,12924.5,11857.91,99.34,Urban Public Transport
265,702635,Construction of Bangalore Metro Rail Project Phase 2.,Bengaluru Metro Rail,Karnataka,02/2016,-,03/2021,09/2026,26405.14,30695.1,29477.97,94,Urban Public Transport
266,702665,Construction Bangalore Metro Rail Project Phase-2A & 2B,Bengaluru Metro Rail,Karnataka,01/2019,-,06/2026,06/2026,14788.1,14788.1,8424.54,53,Urban Public Transport
267,702664,Kochi Metro Rail Phase 2 Development Project,CSPCC Projects,Kerala,11/2022,-,11/2026,11/2026,1957.05,1957.05,306.45,10,Urban Public Transport
268,702625,Bhopal Metro Rail Project,Madhya Pradesh Metro Rail Co Limited [MPMRCL],Madhya Pradesh,11/2018,-,11/2022,06/2028,6941.4,6941.4,3116.75,43,Urban Public Transport
269,702626,Indore Metro Rail Project,Madhya Pradesh Metro Rail Co Limited [MPMRCL],Madhya Pradesh,11/2018,-,11/2022,12/2028,7500.8,7500.8,3839.27,54,Urban Public Transport
270,617225,PCMC To Nigdi- Extension Of North South Corridor Of Phase-1,Maharashtra Metro Rail Corporation Limited [MMRCL],Maharashtra,10/2023,-,01/2027,-,910.18,910.18,110.33,21,Urban Public Transport
271,617226,Pune Metro Phase-1 Extension line towards south from Swargate to Katraj,Maharashtra Metro Rail Corporation Limited [MMRCL],Maharashtra,09/2024,-,03/2029,-,2954.53,2954.53,18.66,3,Urban Public Transport
272,701745,New Suburba Station Development Project,Ministry of Housing & Urban Affairs,Maharashtra,03/2019,-,07/2022,-,262.76,262.76,17.62,6,Urban Public Transport
273,701991,Kalyan Station Precinct Imporvement Project,Ministry of Housing & Urban Affairs,Maharashtra,07/2020,-,07/2023,-,600,600,49.42,0,Urban Public Transport
